Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Procurement And Contract Assistant,435,5,4155,4639,5169,484,1014,11748,49860,62028
Program Analyst 1,860,5,5019,5598,6245,579,1226,13879,60228,74940
Program Analyst 2,861,5,6051,6763,7562,712,1511,16424,72612,90744
Program Analyst 3,863,5,6664,7436,8314,772,1650,17936,79968,99768
Program Analyst 4,863,5,7327,8177,9143,850,1816,19571,87924,109716
Project Manager 1,854,5,6051,6763,7562,712,1511,16424,72612,90744
Project Manager 2,855,5,6982,7803,8713,821,1731,18721,83784,104556
Project Manager 3,856,5,7678,8581,9589,903,1911,20437,92136,115068
Psychiatric Social Worker,6730,5,6664,7436,8314,772,1650,17936,79968,99768
Public Affairs Specialist 1,864,5,5503,6146,6866,643,1363,15073,66036,82392
Public Affairs Specialist 2,865,5,6664,7436,8314,772,1650,17936,79968,99768
Public Affairs Specialist 3,866,5,7327,8177,9143,850,1816,19571,87924,109716
Public Health Educator 1,3337,5,5256,5861,6549,605,1293,14464,63072,78588
Public Health Educator 2,3338,5,5771,6444,7206,673,1435,15734,69252,86472
Public Health Nurse 2,6339,5,8130,9073,10172,943,2042,21552,97560,122064
Public Health Toxicologist 1,3433,5,6664,7436,8314,772,1650,17936,79968,99768
Public Service Representative 2,333,5,3218,3552,3952,334,734,9437,38616,47424
Public Service Representative 3,333,5,3483,3865,4301,382,818,10091,41796,51612
Public Service Representative 4,334,5,4356,4851,5420,495,1064,12244,52272,65040
Radiologic Technologist,6348,5,5503,6146,6866,643,1363,15073,66036,82392
Rehabilitation Instructor For The Blind,3333,5,5019,5598,6245,579,1226,13879,60228,74940
Rehabilitation Instructor For The Blind (Entry),3333,5,4555,5086,5695,531,1140,12735,54660,68340
Rehabilitation Therapist,6531,5,5256,5861,6549,605,1293,14464,63072,78588
Research Analyst 1,1115,5,4155,4639,5169,484,1014,11748,49860,62028
Research Analyst 2,1116,5,5019,5598,6245,579,1226,13879,60228,74940
Research Analyst 3,1117,5,5771,6444,7206,673,1435,15734,69252,86472
Research Analyst 4,1118,5,6982,7803,8713,821,1731,18721,83784,104556
Retirement Counselor 1,841,5,4356,4851,5420,495,1064,12244,52272,65040
Retirement Counselor 2,843,5,4776,5345,5964,569,1188,13280,57312,71568
Revenue Agent 1,5110,5,3790,4222,4715,432,925,10848,45480,56580
Revenue Agent 2,5111,5,4155,4639,5169,484,1014,11748,49860,62028
Revenue Agent 3,5113,5,4555,5086,5695,531,1140,12735,54660,68340
Safety Specialist 1,1345,5,5019,5598,6245,579,1226,13879,60228,74940
Safety Specialist 2,1346,5,6051,6763,7562,712,1511,16424,72612,90744
Scientific Instrument Technician,4339,5,4555,5086,5695,531,1140,12735,54660,68340
Seamster,9301,5,3483,3865,4301,382,818,10091,41796,51612
Securities Examiner,5671,5,6982,7803,8713,821,1731,18721,83784,104556
Shipping Point Inspector 1,5450,5,3483,3865,4301,382,818,10091,41796,51612
Shipping Point Inspector 2,5451,5,3790,4222,4715,432,925,10848,45480,56580
Sign Technician 1,4131,5,4155,4639,5169,484,1014,11748,49860,62028
Social Service Assistant,6609,5,3790,4222,4715,432,925,10848,45480,56580
Social Service Specialist 1,6613,5,5503,6146,6866,643,1363,15073,66036,82392
Social Services Specialist 2,6613,5,6051,6763,7562,712,1511,16424,72612,90744
State Library Specialist 1,351,5,3095,3427,3784,332,689,9134,37140,45408
State Library Specialist 2,353,5,3964,4425,4943,461,979,11277,47568,59316
State Procurement Analyst,770,5,6982,7803,8713,821,1731,18721,83784,104556
Student Office Worker,100,5,0,4301,4301,4301,4301,1500,0,51612
Supply Specialist 1,758,5,3335,3709,4118,374,783,9726,40020,49416
Supply Specialist 2,759,5,4356,4851,5420,495,1064,12244,52272,65040
Tax Auditor 1,5631,5,5503,6146,6866,643,1363,15073,66036,82392
Tax Auditor 2,5633,5,6350,7097,7923,747,1573,17162,76200,95076
Tax Auditor/Entry,5630,5,4356,4851,5420,495,1064,12244,52272,65040
Teaching Assistant,3303,5,3483,3865,4301,382,818,10091,41796,51612
Traffic Survey Interviewer,1105,5,0,,,,,1500,0,
Training & Development Specialist 1,1338,5,5019,5598,6245,579,1226,13879,60228,74940
Training & Development Specialist 2,1339,5,6051,6763,7562,712,1511,16424,72612,90744
Transportation Maintenance Coordinator 1,4161,5,4555,5086,5695,531,1140,12735,54660,68340
Transportation Maintenance Coordinator 2,4163,5,4776,5345,5964,569,1188,13280,57312,71568
Transportation Maintenance Specialist 1,4151,5,3790,4222,4715,432,925,10848,45480,56580
Transportation Maintenance Specialist 2,4153,5,4155,4639,5169,484,1014,11748,49860,62028
Transportation Maintenance Specialist Entry,4150,5,3335,3865,4301,530,966,9726,40020,51612
Transportation Services Office Leader,333,5,4555,5086,5695,531,1140,12735,54660,68340
Transportation Services Representative 1,331,5,3790,4222,4715,432,925,10848,45480,56580
Transportation Services Representative 2,333,5,4155,4639,5169,484,1014,11748,49860,62028
Transportation Telecommunications Specialist 1,4166,5,4356,4851,5420,495,1064,12244,52272,65040
Transportation Telecommunications Specialist 2,4167,5,4776,5345,5964,569,1188,13280,57312,71568
Transporter,4403,5,3005,3427,3784,422,779,8912,36060,45408
Transporting Mental Health Aide,6101,5,3790,4222,4715,432,925,10848,45480,56580
Truck Driver 1,4401,5,3790,4222,4715,432,925,10848,45480,56580
Truck Driver 2,4403,5,4356,4851,5420,495,1064,12244,52272,65040
Veterans Service Officer,799,5,5019,5598,6245,579,1226,13879,60228,74940
Veterans Trust Officer,784,5,5019,5598,6245,579,1226,13879,60228,74940
Video Producer,3176,5,6350,7097,7923,747,1573,17162,76200,95076
Vocational Rehabilitation Counselor,6647,5,5503,6146,6866,643,1363,15073,66036,82392
Vocational Rehabilitation Counselor Entry,6646,5,4356,4851,5420,495,1064,12244,52272,65040
Vocational Rehabilitation Specialist,6648,5,5771,6444,7206,673,1435,15734,69252,86472
Water Resource Data Technician 1,8510,5,4155,4639,5169,484,1014,11748,49860,62028
Water Resource Data Technician 2,8511,5,4555,5086,5695,531,1140,12735,54660,68340
Wildland Fire Dispatcher,8364,5,3483,3865,4301,382,818,10091,41796,51612
Wildland Fire Dispatcher Entry,8363,5,3005,3427,3784,422,779,8912,36060,45408
Wildland Fire Suppression Specialist,8355,5,3790,4222,4715,432,925,10848,45480,56580
Wildland Fire Suppression Specialist Entry,8354,5,3218,3552,3952,334,734,9437,38616,47424
Word Processing Technician 2,531,5,3335,3709,4118,374,783,9726,40020,49416
Word Processing Technician 3,533,5,3629,4036,4498,407,869,10451,43548,53976
Youth Corrections Unit Coordinator,6755,5,5019,5598,6245,579,1226,13879,60228,74940
Accountant 1,1316,6,5256,5861,6549,605,1293,14464,63072,78588
Accountant 2,1317,6,6350,7097,7923,747,1573,17162,76200,95076
Accountant 3,1318,6,7327,8177,9143,850,1816,19571,87924,109716
Accounting Technician,313,6,4356,4851,5420,495,1064,12244,52272,65040
Activities Coordinator,6530,6,4356,4851,5420,495,1064,12244,52272,65040
Administrative Law Judge 1,1510,6,7327,8177,9143,850,1816,19571,87924,109716
Administrative Law Judge 2,1511,6,8450,9447,10545,997,2095,22341,101400,126540
Administrative Law Judge 3,1513,6,10242,11438,12785,1196,2543,26761,122904,153420
Administrative Specialist 1,107,6,3964,4425,4943,461,979,11277,47568,59316
Administrative Specialist 2,108,6,4555,5086,5695,531,1140,12735,54660,68340
Adult Protective Service Specialist,6616,6,5771,6444,7206,673,1435,15734,69252,86472
Aerial Photographer,3540,6,5503,6146,6866,643,1363,15073,66036,82392
Aircraft Pilot,8333,6,6350,7097,7923,747,1573,17162,76200,95076
Appraiser Analyst 1,735,6,4155,4639,5169,484,1014,11748,49860,62028
Appraiser Analyst 2,736,6,5771,6444,7206,673,1435,15734,69252,86472
Appraiser Analyst 3,737,6,6664,7436,8314,772,1650,17936,79968,99768
Appraiser Analyst 4,738,6,7678,8581,9589,903,1911,20437,92136,115068
Apprenticeship Representative,4380,6,5256,5861,6549,605,1293,14464,63072,78588
Automotive Fleet Attendant,4417,6,3483,3865,4301,382,818,10091,41796,51612
Automotive Technician 1,4418,6,4356,4851,5420,495,1064,12244,52272,65040
Automotive Technician 2,4419,6,5256,5861,6549,605,1293,14464,63072,78588
Behavioral Health Specialist 1,6531,6,5503,6146,6866,643,1363,15073,66036,82392
Behavioral Health Specialist 2,6534,6,6350,7097,7923,747,1573,17162,76200,95076
Behavioral Health Specialist 3,6535,6,6982,7803,8713,821,1731,18721,83784,104556
Biological Science Assistant,3769,6,3218,3552,3952,334,734,9437,38616,47424
Business & Employment Specialist 2,6699,6,4776,5345,5964,569,1188,13280,57312,71568
Carpenter,4003,6,5019,5598,6245,579,1226,13879,60228,74940
Certified Occupation Therapist Assistant,6506,6,4555,5086,5695,531,1140,12735,54660,68340
Chaplain,6680,6,5503,6146,6866,643,1363,15073,66036,82392
Chemist 1,3715,6,5503,6146,6866,643,1363,15073,66036,82392
Chemist 2,3716,6,6051,6763,7562,712,1511,16424,72612,90744
Chemist 3,3717,6,6982,7803,8713,821,1731,18721,83784,104556
Child Nutrition Specialist,5950,6,6664,7436,8314,772,1650,17936,79968,99768
Child Support Case Manager,5139,6,4776,5345,5964,569,1188,13280,57312,71568
Child Support Case Manager Entry,5138,6,4356,4851,5420,495,1064,12244,52272,65040
Child Support Specialist,5133,6,5256,5861,6549,605,1293,14464,63072,78588
Civil Engineering Specialist 1,3136,6,5771,6444,7206,673,1435,15734,69252,86472
Civil Rights Investigator 1,5340,6,4776,5345,5964,569,1188,13280,57312,71568
Civil Rights Investigator 2,5341,6,6051,6763,7562,712,1511,16424,72612,90744
Claims Representative 1,5307,6,5019,5598,6245,579,1226,13879,60228,74940
Claims Representative 2,5308,6,5503,6146,6866,643,1363,15073,66036,82392
Client Care Surveyor,6685,6,6664,7436,8314,772,1650,17936,79968,99768
Clinical Laboratory Scientist,6833,6,5503,6146,6866,643,1363,15073,66036,82392
Clinical Psychologist 1,6394,6,8450,9447,10545,997,2095,22341,101400,126540
Clinical Psychologist 2,6395,6,9293,10385,11622,1092,2329,24420,111516,139464
Communicable Disease Analyst,5903,6,5019,5598,6245,579,1226,13879,60228,74940
Community Outreach Specialist,6614,6,6051,6763,7562,712,1511,16424,72612,90744
Compliance Specialist 1,5346,6,4776,5345,5964,569,1188,13280,57312,71568
Compliance Specialist 2,5347,6,5771,6444,7206,673,1435,15734,69252,86472
Compliance Specialist 3,5348,6,6982,7803,8713,821,1731,18721,83784,104556
Construction Inspector,3365,6,6350,7097,7923,747,1573,17162,76200,95076
Construction Project Manager 1,3367,6,6350,7097,7923,747,1573,17162,76200,95076
Construction Project Manager 2,3368,6,7327,8177,9143,850,1816,19571,87924,109716
Construction Project Manager 3,3369,6,8450,9447,10545,997,2095,22341,101400,126540
Cook,9117,6,3964,4425,4943,461,979,11277,47568,59316
Custodial Services Coordinator,4103,6,3335,3709,4118,374,783,9726,40020,49416
Custodian,4101,6,3005,3427,3784,422,779,8912,36060,45408
Data Entry Control Technician,1475,6,3218,3552,3952,334,734,9437,38616,47424
Data Entry Operator,501,6,3218,3552,3952,334,734,9437,38616,47424
Dental Assistant 2,6394,6,4555,5086,5695,531,1140,12735,54660,68340
Dental Hygienist,6396,6,6982,7803,8713,821,1731,18721,83784,104556
Dietitian 2,6371,6,6051,6763,7562,712,1511,16424,72612,90744
Disability Analyst 1,5936,6,5256,5861,6549,605,1293,14464,63072,78588
Disability Analyst 2,5937,6,5771,6444,7206,673,1435,15734,69252,86472
District Veterinarian,6440,6,6982,7803,8713,821,1731,18721,83784,104556
DOJ Claims Examiner,5933,6,5019,5598,6245,579,1226,13879,60228,74940
Dormitory Counselor 1,6767,6,3790,4222,4715,432,925,10848,45480,56580
Dormitory Counselor 2,6768,6,4555,5086,5695,531,1140,12735,54660,68340
Economist 1,1161,6,5256,5861,6549,605,1293,14464,63072,78588
Economist 2,1163,6,6350,7097,7923,747,1573,17162,76200,95076
Economist 3,1163,6,7327,8177,9143,850,1816,19571,87924,109716
Economist 4,1164,6,8450,9447,10545,997,2095,22341,101400,126540
Education Program Specialist 1,3300,6,7327,8177,9143,850,1816,19571,87924,109716
Education Program Specialist 2,3301,6,8450,9447,10545,997,2095,22341,101400,126540
Electrician 2,4008,6,6051,6763,7562,712,1511,16424,72612,90744
Electrician 3,4009,6,6664,7436,8314,772,1650,17936,79968,99768
Electronic Publishing Design Specialist 1,3510,6,3964,4425,4943,461,979,11277,47568,59316
Electronic Publishing Design Specialist 2,3511,6,5019,5598,6245,579,1226,13879,60228,74940
Electronic Publishing Design Specialist 3,3513,6,5503,6146,6866,643,1363,15073,66036,82392
Electronic Security Technician 2,4051,6,6051,6763,7562,712,1511,16424,72612,90744
Employment Adjudicator,6693,6,5256,5861,6549,605,1293,14464,63072,78588
Employment Appeals Board Legal Staff,1543,6,6982,7803,8713,821,1731,18721,83784,104556
Engineering Technician 2,3110,6,4356,4851,5420,495,1064,12244,52272,65040
Engineering Technician 3,3111,6,4776,5345,5964,569,1188,13280,57312,71568
Environmental Engineer 2,3411,6,7327,8177,9143,850,1816,19571,87924,109716
Environmental Engineer 3,3413,6,8450,9447,10545,997,2095,22341,101400,126540
Environmental Health Specialist 3,3819,6,6664,7436,8314,772,1650,17936,79968,99768
Epidemiologist 1,6316,6,6350,7097,7923,747,1573,17162,76200,95076
Epidemiologist 2,6317,6,7327,8177,9143,850,1816,19571,87924,109716
Epidemiologist 3,6318,6,8057,8999,10065,942,2008,21372,96684,120780
Equipment Operator,4433,6,4776,5345,5964,569,1188,13280,57312,71568
Executive Assistant,830,6,5771,6444,7206,673,1435,15734,69252,86472
Executive Support Specialist 1,118,6,3964,4425,4943,461,979,11277,47568,59316
Executive Support Specialist 2,119,6,4555,5086,5695,531,1140,12735,54660,68340
Facilities Engineer 1,3351,6,6350,7097,7923,747,1573,17162,76200,95076
Facilities Engineer 3,3353,6,8450,9447,10545,997,2095,22341,101400,126540
Facility Energy Technician 2,4033,6,5019,5598,6245,579,1226,13879,60228,74940
Facility Energy Technician 3,4034,6,6051,6763,7562,712,1511,16424,72612,90744
Facility Energy Technician 4,4035,6,6982,7803,8713,821,1731,18721,83784,104556
Facility Maintenance Specialist,4013,6,4155,4639,5169,484,1014,11748,49860,62028
Facility Operations Specialist 1,4014,6,5503,6146,6866,643,1363,15073,66036,82392
Facility Operations Specialist 2,4015,6,6051,6763,7562,712,1511,16424,72612,90744
Financial Enforcement Officer,1547,6,8057,8999,10065,942,2008,21372,96684,120780
Financial Examiner 1,5675,6,5503,6146,6866,643,1363,15073,66036,82392
Financial Examiner 2,5676,6,6350,7097,7923,747,1573,17162,76200,95076
Financial Examiner 3,5677,6,7327,8177,9143,850,1816,19571,87924,109716
Financial Investigator 1,5335,6,6051,6763,7562,712,1511,16424,72612,90744
Fiscal Analyst 1,1343,6,5256,5861,6549,605,1293,14464,63072,78588
Fiscal Analyst 2,1344,6,6350,7097,7923,747,1573,17162,76200,95076
Fiscal Analyst 3,1345,6,7327,8177,9143,850,1816,19571,87924,109716
Fiscal Auditor 1,5641,6,5256,5861,6549,605,1293,14464,63072,78588
Fish and Wildlife Technical Coordinator,8346,6,4776,5345,5964,569,1188,13280,57312,71568
Fish and Wildlife Technician,8341,6,3964,4425,4943,461,979,11277,47568,59316
Fish and Wildlife Technician Entry,8340,6,3335,3709,4118,374,783,9726,40020,49416
Fish and Wildlife Technician Senior,8343,6,4356,4851,5420,495,1064,12244,52272,65040
Food Service Worker,9103,6,3335,3709,4118,374,783,9726,40020,49416
Forest Crew Coordinator,8318,6,4356,4851,5420,495,1064,12244,52272,65040
Forest Lookout,8353,6,3095,3427,3784,332,689,9134,37140,45408
Forest Management Technician,8311,6,3790,4222,4715,432,925,10848,45480,56580
Forest Officer,8357,6,5256,5861,6549,605,1293,14464,63072,78588
Geologist 2,3531,6,6051,6763,7562,712,1511,16424,72612,90744
Governmental Auditor 1,5646,6,5503,6146,6866,643,1363,15073,66036,82392
Governmental Auditor 2,5647,6,6051,6763,7562,712,1511,16424,72612,90744
Governmental Auditor 3,5648,6,6982,7803,8713,821,1731,18721,83784,104556
Grounds Maintenance Worker 1,4109,6,3483,3865,4301,382,818,10091,41796,51612
Grounds Maintenance Worker 2,4110,6,3964,4425,4943,461,979,11277,47568,59316
Group Life Coordinator 1,6750,6,3629,4036,4498,407,869,10451,43548,53976
Group Life Coordinator 2,6751,6,4356,4851,5420,495,1064,12244,52272,65040
Hairdresser,9300,6,3483,4036,4498,553,1015,10091,41796,53976
Health Care Investigator/Advisor,5911,6,6051,6763,7562,712,1511,16424,72612,90744
Health Information Specialist,15,6,4155,4639,5169,484,1014,11748,49860,62028
Heavy Equipment Technician 1,4437,6,5441,6072,6782,631,1341,14920,65292,81384
Heavy Equipment Technician 2,4438,6,6051,6763,7562,712,1511,16424,72612,90744
Human Services Assistant 2,6606,6,3790,4222,4715,432,925,10848,45480,56580
Human Services Case Manager,6630,6,4776,5345,5964,569,1188,13280,57312,71568
Human Services Specialist 1,6657,6,3629,4036,4498,407,869,10451,43548,53976
Human Services Specialist 2,6658,6,3964,4425,4943,461,979,11277,47568,59316
Human Services Specialist 3,6659,6,4356,4851,5420,495,1064,12244,52272,65040
Human Services Specialist 4,6660,6,5019,5598,6245,579,1226,13879,60228,74940
Incident Response Operations Specialist,4165,6,4555,5086,5695,531,1140,12735,54660,68340
Industrial Hygienist 2,5706,6,6350,7097,7923,747,1573,17162,76200,95076
Industrial Hygienist 3,5707,6,6982,7803,8713,821,1731,18721,83784,104556
Industrial Hygienist 4,5708,6,7678,8581,9589,903,1911,20437,92136,115068
Information Systems Specialist 2,1483,6,4776,5345,5964,569,1188,13280,57312,71568
Information Systems Specialist 3,1483,6,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 4,1484,6,5771,6444,7206,673,1435,15734,69252,86472
Information Systems Specialist 5,1485,6,6664,7436,8314,772,1650,17936,79968,99768
Information Systems Specialist 6,1486,6,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 7,1487,6,6982,7803,8713,821,1731,18721,83784,104556
Information Systems Specialist 8,1488,6,7678,8581,9589,903,1911,20437,92136,115068
Institution Registered Nurse,6314,6,8519,9547,10604,1028,2085,22511,102228,127248
Insurance Examiner,5748,6,7327,8177,9143,850,1816,19571,87924,109716
Insurance Examiner Entry,5747,6,6051,6763,7562,712,1511,16424,72612,90744
Investigator 1,5331,6,4356,4851,5420,495,1064,12244,52272,65040
Investigator 2,5333,6,5256,5861,6549,605,1293,14464,63072,78588
Investigator 3,5333,6,6051,6763,7562,712,1511,16424,72612,90744
Investment Analyst 1,1333,6,6350,7097,7923,747,1573,17162,76200,95076
Investment Analyst 2,1333,6,7327,8177,9143,850,1816,19571,87924,109716
Investment Analyst 3,1334,6,8450,9447,10545,997,2095,22341,101400,126540
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,6,5503,6146,6866,643,1363,15073,66036,82392
Laboratory Technician 2,6811,6,3964,4425,4943,461,979,11277,47568,59316
Laborer/Student Worker,4116,6,3218,3552,3952,334,734,9437,38616,47424
Legal Secretary,110,6,4155,4639,5169,484,1014,11748,49860,62028
Librarian,3330,6,6051,6763,7562,712,1511,16424,72612,90744
Licensed Practical Nurse,6135,6,5251,5850,6504,599,1253,14451,63012,78048
Livestock Brand Inspector,5430,6,3629,4036,4498,407,869,10451,43548,53976
Loan Specialist 1,1001,6,5256,5861,6549,605,1293,14464,63072,78588
Loan Specialist 2,1003,6,6350,7097,7923,747,1573,17162,76200,95076
Loan Specialist 3,1003,6,7327,8177,9143,850,1816,19571,87924,109716
Machinist,4018,6,6051,6763,7562,712,1511,16424,72612,90744
Mail Delivery Driver,4404,6,3629,4036,4498,407,869,10451,43548,53976
Mail Equipment Operator 1,403,6,3218,3552,3952,334,734,9437,38616,47424
Mail Equipment Operator 2,404,6,3629,4036,4498,407,869,10451,43548,53976
Mail Services Assistant,405,6,3335,3709,4118,374,783,9726,40020,49416
Manual Arts Instructor,3304,6,3964,4425,4943,461,979,11277,47568,59316
Medical Consultant,7538,6,11267,12594,14080,1327,2813,29289,135204,168960
Medical Laboratory Technician 1,6830,6,4155,4639,5169,484,1014,11748,49860,62028
Medical Laboratory Technician 2,6831,6,4555,5086,5695,531,1140,12735,54660,68340
Medical Review Coordinator,6310,6,8519,9547,10604,1028,2085,22511,102228,127248
Mental Health Security Technician,6708,6,3964,4425,4943,461,979,11277,47568,59316
Mental Health Therapist 1,6711,6,3964,4425,4943,461,979,11277,47568,59316
Mental Health Therapist 2,6713,6,4356,4851,5420,495,1064,12244,52272,65040
Mental Health Therapy Coordinator,6718,6,4356,4851,5420,495,1064,12244,52272,65040
Mental Health Therapy Technician,6710,6,3629,4036,4498,407,869,10451,43548,53976
Microbiologist 1,3779,6,5256,5861,6549,605,1293,14464,63072,78588
Microbiologist 2,3780,6,5771,6444,7206,673,1435,15734,69252,86472
Microbiologist 3,3781,6,6664,7436,8314,772,1650,17936,79968,99768
Motor Carrier Enforcement Officer 1,5857,6,4776,5345,5964,569,1188,13280,57312,71568
Motor Carrier Enforcement Officer 2,5858,6,5503,6146,6866,643,1363,15073,66036,82392
Natural Resource Specialist 1,8501,6,4776,5345,5964,569,1188,13280,57312,71568
Natural Resource Specialist 2,8503,6,5503,6146,6866,643,1363,15073,66036,82392
Natural Resource Specialist 3,8503,6,6350,7097,7923,747,1573,17162,76200,95076
Natural Resource Specialist 4,8504,6,7327,8177,9143,850,1816,19571,87924,109716
Natural Resource Specialist 5,8505,6,8057,8999,10065,942,2008,21372,96684,120780
Nutrition Consultant,5955,6,6982,7803,8713,821,1731,18721,83784,104556
Occupational Safety Specialist 1,5709,6,5019,5598,6245,579,1226,13879,60228,74940
Occupational Safety Specialist 2,5710,6,6350,7097,7923,747,1573,17162,76200,95076
Occupational Safety Specialist 3,5711,6,6982,7803,8713,821,1731,18721,83784,104556
Occupational Therapist,6508,6,8057,8999,10065,942,2008,21372,96684,120780
Office Assistant 1,101,6,0,,,,,1500,0,
Office Assistant 2,103,6,3005,3427,3784,422,779,8912,36060,45408
Office Coordinator,801,6,3629,4036,4498,407,869,10451,43548,53976
Office Specialist 1,103,6,3335,3709,4118,374,783,9726,40020,49416
Office Specialist 2,104,6,3629,4036,4498,407,869,10451,43548,53976
Operations & Policy Analyst 1,870,6,5256,5861,6549,605,1293,14464,63072,78588
Operations & Policy Analyst 2,871,6,6350,7097,7923,747,1573,17162,76200,95076
Operations & Policy Analyst 3,873,6,7327,8177,9143,850,1816,19571,87924,109716
Operations & Policy Analyst 4,873,6,8057,8999,10065,942,2008,21372,96684,120780
Painter,4001,6,5019,5598,6245,579,1226,13879,60228,74940
Paralegal,1534,6,6051,6763,7562,712,1511,16424,72612,90744
Park Ranger 1,8434,6,4155,4639,5169,484,1014,11748,49860,62028
Park Ranger 2,8435,6,4555,5086,5695,531,1140,12735,54660,68340
Park Ranger 3,8436,6,5019,5598,6245,579,1226,13879,60228,74940
Park Ranger Assistant,8433,6,3218,3552,3952,334,734,9437,38616,47424
Park Specialist,8445,6,3964,4425,4943,461,979,11277,47568,59316
Parking Services Representative,5550,6,3483,3865,4301,382,818,10091,41796,51612
Parts Specialist 2,783,6,4555,5086,5695,531,1140,12735,54660,68340
Payroll Analyst,314,6,4776,5345,5964,569,1188,13280,57312,71568
Pharmacist,6360,6,11267,12594,14080,1327,2813,29289,135204,168960
Pharmacist 2,6363,6,12408,13866,15503,1458,3095,32103,148896,186036
Pharmacist Resident,6361,6,5256,5861,6549,605,1293,14464,63072,78588
Pharmacy Clerk & Technician 2,6388,6,3790,4222,4715,432,925,10848,45480,56580
Pharmacy Clerk & Technician 3,6389,6,3964,4425,4943,461,979,11277,47568,59316
Physical Therapist,6503,6,7678,8581,9589,903,1911,20437,92136,115068
Physical/Electronic Security Technician,4037,6,4555,5086,5695,531,1140,12735,54660,68340
Physical/Electronic Security Technician 3,4039,6,5503,6146,6866,643,1363,15073,66036,82392
Physician's Assistant,6357,6,8450,9447,10545,997,2095,22341,101400,126540
Planner 2,1097,6,6350,7097,7923,747,1573,17162,76200,95076
Plumber,4005,6,5503,6146,6866,643,1363,15073,66036,82392
Preadmissions Screening Specialist,6684,6,5503,6146,6866,643,1363,15073,66036,82392
Print Services Technician,3446,6,3790,4222,4715,432,925,10848,45480,56580
Printing Production Coordinator,3475,6,5256,5861,6549,605,1293,14464,63072,78588
Procurement & Contract Specialist 1,436,6,5256,5861,6549,605,1293,14464,63072,78588
Procurement & Contract Specialist 2,437,6,6350,7097,7923,747,1573,17162,76200,95076
Procurement & Contract Specialist 3,438,6,6982,7803,8713,821,1731,18721,83784,104556
Procurement And Contract Assistant,435,6,4356,4851,5420,495,1064,12244,52272,65040
Program Analyst 1,860,6,5256,5861,6549,605,1293,14464,63072,78588
Program Analyst 2,861,6,6350,7097,7923,747,1573,17162,76200,95076
Program Analyst 3,863,6,6982,7803,8713,821,1731,18721,83784,104556
Program Analyst 4,863,6,7678,8581,9589,903,1911,20437,92136,115068
Project Manager 1,854,6,6350,7097,7923,747,1573,17162,76200,95076
Project Manager 2,855,6,7327,8177,9143,850,1816,19571,87924,109716
Project Manager 3,856,6,8057,8999,10065,942,2008,21372,96684,120780
Psychiatric Social Worker,6730,6,6982,7803,8713,821,1731,18721,83784,104556
Public Affairs Specialist 1,864,6,5771,6444,7206,673,1435,15734,69252,86472
Public Affairs Specialist 2,865,6,6982,7803,8713,821,1731,18721,83784,104556
Public Affairs Specialist 3,866,6,7678,8581,9589,903,1911,20437,92136,115068
Public Health Educator 1,3337,6,5503,6146,6866,643,1363,15073,66036,82392
Public Health Educator 2,3338,6,6051,6763,7562,712,1511,16424,72612,90744
Public Health Nurse 2,6339,6,8519,9547,10604,1028,2085,22511,102228,127248
Public Health Toxicologist 1,3433,6,6982,7803,8713,821,1731,18721,83784,104556
Public Service Representative 2,333,6,3335,3709,4118,374,783,9726,40020,49416
Public Service Representative 3,333,6,3629,4036,4498,407,869,10451,43548,53976
Public Service Representative 4,334,6,4555,5086,5695,531,1140,12735,54660,68340
Radiologic Technologist,6348,6,5771,6444,7206,673,1435,15734,69252,86472
Rehabilitation Instructor For The Blind,3333,6,5256,5861,6549,605,1293,14464,63072,78588
Rehabilitation Instructor For The Blind (Entry),3333,6,4776,5345,5964,569,1188,13280,57312,71568
Rehabilitation Therapist,6531,6,5503,6146,6866,643,1363,15073,66036,82392
Research Analyst 1,1115,6,4356,4851,5420,495,1064,12244,52272,65040
Research Analyst 2,1116,6,5256,5861,6549,605,1293,14464,63072,78588
Research Analyst 3,1117,6,6051,6763,7562,712,1511,16424,72612,90744
Research Analyst 4,1118,6,7327,8177,9143,850,1816,19571,87924,109716
Retirement Counselor 1,841,6,4555,5086,5695,531,1140,12735,54660,68340
Retirement Counselor 2,843,6,5019,5598,6245,579,1226,13879,60228,74940
Revenue Agent 1,5110,6,3964,4425,4943,461,979,11277,47568,59316
Revenue Agent 2,5111,6,4356,4851,5420,495,1064,12244,52272,65040
Revenue Agent 3,5113,6,4776,5345,5964,569,1188,13280,57312,71568
Safety Specialist 1,1345,6,5256,5861,6549,605,1293,14464,63072,78588
Safety Specialist 2,1346,6,6350,7097,7923,747,1573,17162,76200,95076
Scientific Instrument Technician,4339,6,4776,5345,5964,569,1188,13280,57312,71568
Seamster,9301,6,3629,4036,4498,407,869,10451,43548,53976
Securities Examiner,5671,6,7327,8177,9143,850,1816,19571,87924,109716
Shipping Point Inspector 1,5450,6,3629,4036,4498,407,869,10451,43548,53976
Shipping Point Inspector 2,5451,6,3964,4425,4943,461,979,11277,47568,59316
