Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Investigator 1,5331,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Investigator 2,5333,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Investigator 3,5333,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Investment Analyst 1,1333,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Investment Analyst 2,1333,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Investment Analyst 3,1334,9,Strikeable,9751,10908,11622,1157,1871,25550,117012,139464
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Laboratory Technician 2,6811,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Laborer/Student Worker,4116,9,Strikeable,3629,4036,4301,407,672,10451,43548,51612
Legal Secretary,110,9,Strikeable,4776,5345,5695,569,919,13280,57312,68340
Librarian,3330,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Licensed Practical Nurse,6135,9,Strikeable,6009,6707,7147,698,1138,16321,72108,85764
Livestock Brand Inspector,5430,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Loan Specialist 1,1001,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Loan Specialist 2,1003,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Loan Specialist 3,1003,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Machinist,4018,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Mail Delivery Driver,4404,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Mail Equipment Operator 1,403,9,Strikeable,3629,4036,4301,407,672,10451,43548,51612
Mail Equipment Operator 2,404,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Mail Services Assistant,405,9,Strikeable,3790,4222,4498,432,708,10848,45480,53976
Manual Arts Instructor,3304,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Medical Consultant,7538,9,Strikeable,13020,14550,15503,1530,2483,33613,156240,186036
Medical Laboratory Technician 1,6830,9,Strikeable,4776,5345,5695,569,919,13280,57312,68340
Medical Laboratory Technician 2,6831,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Medical Review Coordinator,6310,9,Strikeable,9789,10921,11636,1132,1847,25644,117468,139632
Mental Health Security Technician,6708,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Mental Health Therapist 1,6711,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Mental Health Therapist 2,6713,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Mental Health Therapy Coordinator,6718,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Mental Health Therapy Technician,6710,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Microbiologist 1,3779,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Microbiologist 2,3780,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Microbiologist 3,3781,9,Strikeable,7678,8581,9143,903,1465,20437,92136,109716
Motor Carrier Enforcement Officer 1,5857,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Motor Carrier Enforcement Officer 2,5858,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Natural Resource Specialist 1,8501,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Natural Resource Specialist 2,8503,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Natural Resource Specialist 3,8503,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Natural Resource Specialist 4,8504,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Natural Resource Specialist 5,8505,9,Strikeable,9293,10385,11065,1092,1772,24420,111516,132780
Nutrition Consultant,5955,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Occupational Safety Specialist 1,5709,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Occupational Safety Specialist 2,5710,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Occupational Safety Specialist 3,5711,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Occupational Therapist,6508,9,Strikeable,9293,10385,11065,1092,1772,24420,111516,132780
Office Assistant 1,101,9,Strikeable,3095,3427,3652,332,557,9134,37140,43824
Office Assistant 2,103,9,Strikeable,3335,3709,3952,374,617,9726,40020,47424
Office Coordinator,801,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Office Specialist 1,103,9,Strikeable,3790,4222,4498,432,708,10848,45480,53976
Office Specialist 2,104,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Operations & Policy Analyst 1,870,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Operations & Policy Analyst 2,871,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Operations & Policy Analyst 3,873,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Operations & Policy Analyst 4,873,9,Strikeable,9293,10385,11065,1092,1772,24420,111516,132780
Painter,4001,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Paralegal,1534,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Park Ranger 1,8434,9,Strikeable,4776,5332,5682,556,906,13280,57312,68184
Park Ranger 2,8435,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Park Ranger 3,8436,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Park Ranger Assistant,8433,9,Strikeable,3629,4036,4301,407,672,10451,43548,51612
Park Specialist,8445,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Parking Services Representative,5550,9,Strikeable,3964,4425,4715,461,751,11277,47568,56580
Parts Specialist 2,783,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Payroll Analyst,314,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Pharmacist,6360,9,Strikeable,13020,14550,15503,1530,2483,33613,156240,186036
Pharmacist 2,6363,9,Strikeable,14337,16024,17074,1687,2737,36861,172044,204888
Pharmacist Resident,6361,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Pharmacy Clerk & Technician 2,6388,9,Strikeable,4356,4851,5169,495,813,12244,52272,62028
Pharmacy Clerk & Technician 3,6389,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Physical Therapist,6503,9,Strikeable,8870,9897,10545,1027,1675,23377,106440,126540
Physical/Electronic Security Technician,4037,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Physical/Electronic Security Technician 3,4039,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Physician's Assistant,6357,9,Strikeable,9751,10908,11622,1157,1871,25550,117012,139464
Planner 2,1097,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Plumber,4005,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Preadmissions Screening Specialist,6684,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Print Services Technician,3446,9,Strikeable,4356,4851,5169,495,813,12244,52272,62028
Printing Production Coordinator,3475,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Procurement & Contract Specialist 1,436,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Procurement & Contract Specialist 2,437,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Procurement & Contract Specialist 3,438,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Procurement And Contract Assistant,435,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Program Analyst 1,860,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Program Analyst 2,861,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Program Analyst 3,863,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Program Analyst 4,863,9,Strikeable,8870,9897,10545,1027,1675,23377,106440,126540
Project Manager 1,854,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Project Manager 2,855,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Project Manager 3,856,9,Strikeable,9293,10385,11065,1092,1772,24420,111516,132780
Psychiatric Social Worker,6730,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Public Affairs Specialist 1,864,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Public Affairs Specialist 2,865,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Public Affairs Specialist 3,866,9,Strikeable,8870,9897,10545,1027,1675,23377,106440,126540
Public Health Educator 1,3337,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Public Health Educator 2,3338,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Public Health Nurse 2,6339,9,Strikeable,9789,10921,11636,1132,1847,25644,117468,139632
Public Health Toxicologist 1,3433,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Public Service Representative 2,333,9,Strikeable,3790,4222,4498,432,708,10848,45480,53976
Public Service Representative 3,333,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Public Service Representative 4,334,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Radiologic Technologist,6348,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Rehabilitation Instructor For The Blind,3333,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Rehabilitation Instructor For The Blind (Entry),3333,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Rehabilitation Therapist,6531,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Research Analyst 1,1115,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Research Analyst 2,1116,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Research Analyst 3,1117,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Research Analyst 4,1118,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Retirement Counselor 1,841,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Retirement Counselor 2,843,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Revenue Agent 1,5110,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Revenue Agent 2,5111,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Revenue Agent 3,5113,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Safety Specialist 1,1345,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Safety Specialist 2,1346,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Scientific Instrument Technician,4339,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Seamster,9301,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Securities Examiner,5671,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Shipping Point Inspector 1,5450,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Shipping Point Inspector 2,5451,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Sign Technician 1,4131,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Social Service Assistant,6609,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Social Service Specialist 1,6613,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Social Services Specialist 2,6613,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
State Library Specialist 1,351,9,Strikeable,3629,4036,4301,407,672,10451,43548,51612
State Library Specialist 2,353,9,Strikeable,4776,5345,5695,569,919,13280,57312,68340
State Procurement Analyst,770,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Student Office Worker,100,9,Strikeable,3005,4301,4301,1296,1296,8912,36060,51612
Supply Specialist 1,758,9,Strikeable,3964,4425,4715,461,751,11277,47568,56580
Supply Specialist 2,759,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Tax Auditor 1,5631,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Tax Auditor 2,5633,9,Strikeable,7678,8581,9143,903,1465,20437,92136,109716
Tax Auditor/Entry,5630,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Teaching Assistant,3303,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Traffic Survey Interviewer,1105,9,Strikeable,3095,3427,3652,332,557,9134,37140,43824
Training & Development Specialist 1,1338,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Training & Development Specialist 2,1339,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Transportation Maintenance Coordinator 1,4161,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Transportation Maintenance Coordinator 2,4163,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Transportation Maintenance Specialist 1,4151,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Transportation Maintenance Specialist 2,4153,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Transportation Maintenance Specialist Entry,4150,9,Strikeable,3964,4425,4715,461,751,11277,47568,56580
Transportation Services Office Leader,333,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Transportation Services Representative 1,331,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Transportation Services Representative 2,333,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Transportation Telecommunications Specialist 1,4166,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Transportation Telecommunications Specialist 2,4167,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Transporter,4403,9,Strikeable,3483,3865,4118,382,635,10091,41796,49416
Transporting Mental Health Aide,6101,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Truck Driver 1,4401,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Truck Driver 2,4403,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Veterans Service Officer,799,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Veterans Trust Officer,784,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Video Producer,3176,9,Strikeable,7678,8581,9143,903,1465,20437,92136,109716
Vocational Rehabilitation Counselor,6647,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Vocational Rehabilitation Counselor Entry,6646,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Vocational Rehabilitation Specialist,6648,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Water Resource Data Technician 1,8510,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Water Resource Data Technician 2,8511,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Wildland Fire Dispatcher,8364,9,Strikeable,4155,4639,4943,484,788,11748,49860,59316
Wildland Fire Dispatcher Entry,8363,9,Strikeable,3483,3865,4118,382,635,10091,41796,49416
Wildland Fire Suppression Specialist,8355,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Wildland Fire Suppression Specialist Entry,8354,9,Strikeable,3790,4222,4498,432,708,10848,45480,53976
Word Processing Technician 2,531,9,Strikeable,3964,4425,4715,461,751,11277,47568,56580
Word Processing Technician 3,533,9,Strikeable,4356,4851,5169,495,813,12244,52272,62028
Youth Corrections Unit Coordinator,6755,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Accountant 1,1316,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Accountant 2,1317,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Accountant 3,1318,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Accounting Technician,313,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Activities Coordinator,6530,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Administrative Law Judge 1,1510,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Administrative Law Judge 2,1511,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Administrative Law Judge 3,1513,10,Strikeable,12408,13215,14080,807,1672,32103,148896,168960
Administrative Specialist 1,107,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Administrative Specialist 2,108,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Adult Protective Service Specialist,6616,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Aerial Photographer,3540,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Aircraft Pilot,8333,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Appraiser Analyst 1,735,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
Appraiser Analyst 2,736,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Appraiser Analyst 3,737,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Appraiser Analyst 4,738,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Apprenticeship Representative,4380,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Automotive Fleet Attendant,4417,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Automotive Technician 1,4418,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Automotive Technician 2,4419,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Behavioral Health Specialist 1,6531,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Behavioral Health Specialist 2,6534,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Behavioral Health Specialist 3,6535,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Biological Science Assistant,3769,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Business & Employment Specialist 2,6699,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Carpenter,4003,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Certified Occupation Therapist Assistant,6506,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Chaplain,6680,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Chemist 1,3715,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Chemist 2,3716,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Chemist 3,3717,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Child Nutrition Specialist,5950,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Child Support Case Manager,5139,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Child Support Case Manager Entry,5138,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Child Support Specialist,5133,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Civil Engineering Specialist 1,3136,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Civil Rights Investigator 1,5340,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Civil Rights Investigator 2,5341,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Claims Representative 1,5307,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Claims Representative 2,5308,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Client Care Surveyor,6685,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Clinical Laboratory Scientist,6833,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Clinical Psychologist 1,6394,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Clinical Psychologist 2,6395,10,Strikeable,11267,11999,12785,732,1518,29289,135204,153420
Communicable Disease Analyst,5903,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Community Outreach Specialist,6614,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Compliance Specialist 1,5346,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Compliance Specialist 2,5347,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Compliance Specialist 3,5348,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Construction Inspector,3365,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Construction Project Manager 1,3367,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Construction Project Manager 2,3368,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Construction Project Manager 3,3369,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Cook,9117,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Custodial Services Coordinator,4103,10,Strikeable,3964,4222,4498,258,534,11277,47568,53976
Custodian,4101,10,Strikeable,3483,3709,3952,226,469,10091,41796,47424
Data Entry Control Technician,1475,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Data Entry Operator,501,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Dental Assistant 2,6394,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Dental Hygienist,6396,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Dietitian 2,6371,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Disability Analyst 1,5936,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Disability Analyst 2,5937,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
District Veterinarian,6440,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
DOJ Claims Examiner,5933,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Dormitory Counselor 1,6767,10,Strikeable,4555,4851,5169,296,614,12735,54660,62028
Dormitory Counselor 2,6768,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Economist 1,1161,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Economist 2,1163,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Economist 3,1163,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Economist 4,1164,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Education Program Specialist 1,3300,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Education Program Specialist 2,3301,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Electrician 2,4008,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Electrician 3,4009,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Electronic Publishing Design Specialist 1,3510,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Electronic Publishing Design Specialist 2,3511,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Electronic Publishing Design Specialist 3,3513,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Electronic Security Technician 2,4051,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Employment Adjudicator,6693,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Employment Appeals Board Legal Staff,1543,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Engineering Technician 2,3110,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Engineering Technician 3,3111,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Environmental Engineer 2,3411,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Environmental Engineer 3,3413,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Environmental Health Specialist 3,3819,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Epidemiologist 1,6316,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Epidemiologist 2,6317,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Epidemiologist 3,6318,10,Strikeable,9751,10385,11065,634,1314,25550,117012,132780
Equipment Operator,4433,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Executive Assistant,830,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Executive Support Specialist 1,118,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Executive Support Specialist 2,119,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Facilities Engineer 1,3351,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Facilities Engineer 3,3353,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Facility Energy Technician 2,4033,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Facility Energy Technician 3,4034,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Facility Energy Technician 4,4035,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Facility Maintenance Specialist,4013,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
Facility Operations Specialist 1,4014,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Facility Operations Specialist 2,4015,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Financial Enforcement Officer,1547,10,Strikeable,9751,10385,11065,634,1314,25550,117012,132780
Financial Examiner 1,5675,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Financial Examiner 2,5676,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Financial Examiner 3,5677,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Financial Investigator 1,5335,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Fiscal Analyst 1,1343,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Fiscal Analyst 2,1344,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Fiscal Analyst 3,1345,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Fiscal Auditor 1,5641,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Fish and Wildlife Technical Coordinator,8346,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Fish and Wildlife Technician,8341,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Fish and Wildlife Technician Entry,8340,10,Strikeable,3964,4222,4498,258,534,11277,47568,53976
Fish and Wildlife Technician Senior,8343,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Food Service Worker,9103,10,Strikeable,3964,4222,4498,258,534,11277,47568,53976
Forest Crew Coordinator,8318,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Forest Lookout,8353,10,Strikeable,3629,3865,4118,236,489,10451,43548,49416
Forest Management Technician,8311,10,Strikeable,4555,4851,5169,296,614,12735,54660,62028
Forest Officer,8357,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Geologist 2,3531,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Governmental Auditor 1,5646,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Governmental Auditor 2,5647,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Governmental Auditor 3,5648,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Grounds Maintenance Worker 1,4109,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Grounds Maintenance Worker 2,4110,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Group Life Coordinator 1,6750,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Group Life Coordinator 2,6751,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Hairdresser,9300,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Health Care Investigator/Advisor,5911,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Health Information Specialist,15,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
Heavy Equipment Technician 1,4437,10,Strikeable,6558,6984,7442,426,884,17675,78696,89304
Heavy Equipment Technician 2,4438,10,Strikeable,7317,7793,8303,476,986,19547,87804,99636
Human Services Assistant 2,6606,10,Strikeable,4555,4851,5169,296,614,12735,54660,62028
Human Services Case Manager,6630,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Human Services Specialist 1,6657,10,Strikeable,4356,4639,4943,283,587,12244,52272,59316
Human Services Specialist 2,6658,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Human Services Specialist 3,6659,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Human Services Specialist 4,6660,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Incident Response Operations Specialist,4165,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Industrial Hygienist 2,5706,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Industrial Hygienist 3,5707,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Industrial Hygienist 4,5708,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Information Systems Specialist 2,1483,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Information Systems Specialist 3,1483,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
