Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Parts Specialist 2,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Payroll Analyst,,6,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Pharmacist Resident,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Pharmacy Clerk & Technician 2,,6,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Pharmacy Clerk & Technician 3,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Physical/Electronic Security Technician,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Print Services Technician,,6,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Printing Production Coordinator,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Procurement & Contract Specialist 1,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Procurement & Contract Specialist 3,,6,Non-Strikeable,7484,8354.925,8492.52513,871,1009,89808,101910
Procurement And Contract Assistant,,6,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Program Analyst 1,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Program Analyst 3,,6,Non-Strikeable,7484,8354.925,8492.52513,871,1009,89808,101910
Psychiatric Social Worker,,6,Non-Strikeable,7484,8354.925,8492.52513,871,1009,89808,101910
Public Affairs Specialist 2,,6,Non-Strikeable,7484,8354.925,8492.52513,871,1009,89808,101910
Public Health Toxicologist 1,,6,Non-Strikeable,7484,8354.925,8492.52513,871,1009,89808,101910
Public Service Representative 2,,6,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Public Service Representative 3,,6,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Public Service Representative 4,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Rehabilitation Instructor For The Blind,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Rehabilitation Instructor For The Blind (Entry),,6,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Research Analyst 1,,6,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Research Analyst 2,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Retirement Counselor 1,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Revenue Agent 1,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Revenue Agent 2,,6,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Revenue Agent 3,,6,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Safety Specialist 1,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Scientific Instrument Technician,,6,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Seamster,,6,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Shipping Point Inspector 1,,6,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Shipping Point Inspector 2,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Sign Technician 1,,6,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Social Service Assistant,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
State Library Specialist 1,,6,Non-Strikeable,3477,3838.26,3945.551828,361,469,41724,47347
Supply Specialist 1,,6,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Supply Specialist 2,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Tax Auditor/Entry,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Teaching Assistant,,6,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Training & Development Specialist 1,,6,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 1,,6,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 2,,6,Non-Strikeable,4766,5318.61,5935.916483,553,1170,57192,71231
Transportation Services Office Leader,,6,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Transportation Services Representative 1,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Transportation Services Representative 2,,6,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Transportation Telecommunications Specialist 1,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Transporting Mental Health Aide,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Truck Driver 1,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Truck Driver 2,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Veterans Service Officer,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Veterans Trust Officer,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Vocational Rehabilitation Counselor Entry,,6,Non-Strikeable,4994,5571.015,5666.978955,577,673,59928,68004
Water Resource Data Technician 1,,6,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Water Resource Data Technician 2,,6,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Wildland Fire Dispatcher,,6,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Wildland Fire Dispatcher Entry,,6,Non-Strikeable,3334,3703.005,3783.281505,369,449,40008,45399
Wildland Fire Suppression Specialist,,6,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Wildland Fire Suppression Specialist Entry,,6,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Word Processing Technician 2,,6,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Word Processing Technician 3,,6,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Youth Corrections Unit Coordinator,,6,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Accountant 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Accountant 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Accountant 3,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Accounting Technician,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Activities Coordinator,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Administrative Law Judge 1,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Administrative Law Judge 2,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Administrative Law Judge 3,,7,Strikeable,10740,11999,13419,1259,2679,128880,161028
Administrative Specialist 1,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Administrative Specialist 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Adult Protective Service Specialist,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Aerial Photographer,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Aircraft Pilot,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Appraiser Analyst 1,,7,Strikeable,4356,4851,5420,495,1064,52272,65040
Appraiser Analyst 2,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Appraiser Analyst 3,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Appraiser Analyst 4,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Apprenticeship Representative,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Automotive Fleet Attendant,,7,Strikeable,3629,4036,4498,407,869,43548,53976
Automotive Technician 1,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Automotive Technician 2,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Behavioral Health Specialist 1,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Behavioral Health Specialist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Behavioral Health Specialist 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Biological Science Assistant,,7,Strikeable,3335,3709,4118,374,783,40020,49416
Business & Employment Specialist 2,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Carpenter,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Certified Occupation Therapist Assistant,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Chaplain,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Chemist 1,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Chemist 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Chemist 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Child Nutrition Specialist,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Child Support Case Manager,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Child Support Case Manager Entry,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Child Support Specialist,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Civil Engineering Specialist 1,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Civil Rights Investigator 1,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Civil Rights Investigator 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Claims Representative 1,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Claims Representative 2,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Client Care Surveyor,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Clinical Laboratory Scientist,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Clinical Psychologist 1,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Clinical Psychologist 2,,7,Strikeable,9751,10908,12187,1157,2436,117012,146244
Communicable Disease Analyst,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Community Outreach Specialist,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Compliance Specialist 1,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Compliance Specialist 2,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Compliance Specialist 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Construction Inspector,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Construction Project Manager 1,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Construction Project Manager 2,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Construction Project Manager 3,,7,Strikeable,8450,9447,10545,997,2095,101400,126540
Cook,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Custodial Services Coordinator,,7,Strikeable,3483,3865,4301,382,818,41796,51612
Custodian,,7,Strikeable,3095,3427,3784,332,689,37140,45408
Data Entry Control Technician,,7,Strikeable,3335,3709,4118,374,783,40020,49416
Data Entry Operator,,7,Strikeable,3335,3709,4118,374,783,40020,49416
Dental Assistant 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Dental Hygienist,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Dietitian 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Disability Analyst 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Disability Analyst 2,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
District Veterinarian,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
DOJ Claims Examiner,,7,Strikeable,5503,5861,6549,358,1046,66036,78588
Dormitory Counselor 1,,7,Strikeable,3964,4425,4943,461,979,47568,59316
Dormitory Counselor 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Economist 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Economist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Economist 3,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Economist 4,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Education Program Specialist 1,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Education Program Specialist 2,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Electrician 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Electrician 3,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Electronic Publishing Design Specialist 1,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Electronic Publishing Design Specialist 2,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Electronic Publishing Design Specialist 3,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Electronic Security Technician 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Employment Adjudicator,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Employment Appeals Board Legal Staff,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Engineering Technician 2,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Engineering Technician 3,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Environmental Engineer 2,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Environmental Engineer 3,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Environmental Health Specialist 3,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Epidemiologist 1,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Epidemiologist 2,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Epidemiologist 3,,7,Strikeable,8450,9447,10545,997,2095,101400,126540
Equipment Operator,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Executive Assistant,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Executive Support Specialist 1,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Executive Support Specialist 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Facilities Engineer 1,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Facilities Engineer 3,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Facility Energy Technician 2,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Facility Energy Technician 3,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Facility Energy Technician 4,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Facility Maintenance Specialist,,7,Strikeable,4356,4851,5420,495,1064,52272,65040
Facility Operations Specialist 1,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Facility Operations Specialist 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Financial Enforcement Officer,,7,Strikeable,8450,9447,10545,997,2095,101400,126540
Financial Examiner 1,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Financial Examiner 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Financial Examiner 3,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Financial Investigator 1,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Fiscal Analyst 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Fiscal Analyst 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Fiscal Analyst 3,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Fiscal Auditor 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Fish and Wildlife Technical Coordinator,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Fish and Wildlife Technician,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Fish and Wildlife Technician Entry,,7,Strikeable,3483,3865,4301,382,818,41796,51612
Fish and Wildlife Technician Senior,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Food Service Worker,,7,Strikeable,3483,3865,4301,382,818,41796,51612
Forest Crew Coordinator,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Forest Lookout,,7,Strikeable,3218,3552,3952,334,734,38616,47424
Forest Management Technician,,7,Strikeable,3964,4425,4943,461,979,47568,59316
Forest Officer,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Geologist 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Governmental Auditor 1,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Governmental Auditor 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Governmental Auditor 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Grounds Maintenance Worker 1,,7,Strikeable,3629,4036,4498,407,869,43548,53976
Grounds Maintenance Worker 2,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Group Life Coordinator 1,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Group Life Coordinator 2,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Hairdresser,,7,Strikeable,3629,4036,4498,407,869,43548,53976
Health Care Investigator/Advisor,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Health Information Specialist,,7,Strikeable,4356,4851,5420,495,1064,52272,65040
Heavy Equipment Technician 1,,7,Strikeable,5701,6366,7105,665,1404,68412,85260
Heavy Equipment Technician 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Human Services Assistant 2,,7,Strikeable,3964,4425,4943,461,979,47568,59316
Human Services Case Manager,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Human Services Specialist 1,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Human Services Specialist 2,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Human Services Specialist 3,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Human Services Specialist 4,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Incident Response Operations Specialist,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Industrial Hygienist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Industrial Hygienist 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Industrial Hygienist 4,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Information Systems Specialist 2,,7,Strikeable,5045,5629,6277,584,1232,60540,75324
Information Systems Specialist 3,,7,Strikeable,5779,6442,7185,663,1406,69348,86220
Information Systems Specialist 4,,7,Strikeable,6266,6990,7800,724,1534,75192,93600
Information Systems Specialist 5,,7,Strikeable,7003,7806,8709,803,1706,84036,104508
Information Systems Specialist 6,,7,Strikeable,7490,8356,9323,866,1833,89880,111876
Information Systems Specialist 7,,7,Strikeable,8292,9247,10316,955,2024,99504,123792
Information Systems Specialist 8,,7,Strikeable,9042,10083,11250,1041,2208,108504,135000
Institution Registered Nurse,,7,Strikeable,8964,9952,11108,988,2144,107568,133296
Insurance Examiner,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Insurance Examiner Entry,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Investigator 1,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Investigator 2,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Investigator 3,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Investment Analyst 1,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Investment Analyst 2,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Investment Analyst 3,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Laboratory Technician 2,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Laborer/Student Worker,,7,Strikeable,3335,3709,4118,374,783,40020,49416
Legal Secretary,,7,Strikeable,4356,4851,5420,495,1064,52272,65040
Librarian,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Licensed Practical Nurse,,7,Strikeable,5493,6105,6819,612,1326,65916,81828
Livestock Brand Inspector,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Loan Specialist 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Loan Specialist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Loan Specialist 3,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Machinist,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Mail Delivery Driver,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Mail Equipment Operator 1,,7,Strikeable,3335,3709,4118,374,783,40020,49416
Mail Equipment Operator 2,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Mail Services Assistant,,7,Strikeable,3483,3865,4301,382,818,41796,51612
Manual Arts Instructor,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Medical Consultant,,7,Strikeable,11825,13215,14775,1390,2950,141900,177300
Medical Laboratory Technician 1,,7,Strikeable,4356,4851,5420,495,1064,52272,65040
Medical Laboratory Technician 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Medical Review Coordinator,,7,Strikeable,8964,9952,11108,988,2144,107568,133296
Mental Health Security Technician,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Mental Health Therapist 1,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Mental Health Therapist 2,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Mental Health Therapy Coordinator,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Mental Health Therapy Technician,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Microbiologist 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Microbiologist 2,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Microbiologist 3,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Motor Carrier Enforcement Officer 1,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Motor Carrier Enforcement Officer 2,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Natural Resource Specialist 1,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Natural Resource Specialist 2,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Natural Resource Specialist 3 pay option A ,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Natural Resource Specialist 3 pay option B Hydrogeologist,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Natural Resource Specialist 3 pay option D Hydrogeologist,,7,Strikeable,6982,7803,8713,821,1731,83784,104556
Natural Resource Specialist 4 pay option A,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Natural Resource Specialist 4 pay option B Hydrogeologist,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Natural Resource Specialist 4 pay Option C Toxicologist ,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Natural Resource Specialist 4 Pay Option D Registered Sanitarian,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Natural Resource Specialist 5 Pay Option A,,7,Strikeable,8450,9447,10545,997,2095,101400,126540
Natural Resource Specialist 5 Pay Option B Hydrogeologist,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Nutrition Consultant,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Occupational Safety Specialist 1,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Occupational Safety Specialist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Occupational Safety Specialist 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Occupational Therapist,,7,Strikeable,8450,9447,10545,997,2095,101400,126540
Office Assistant 1,,7,Strikeable,0,,,,,0,
Office Assistant 2,,7,Strikeable,3095,3427,3784,332,689,37140,45408
Office Coordinator,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Office Specialist 1,,7,Strikeable,3483,3865,4301,382,818,41796,51612
Office Specialist 2,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Operations & Policy Analyst 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Operations & Policy Analyst 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Operations & Policy Analyst 3,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Operations & Policy Analyst 4,,7,Strikeable,8450,9447,10545,997,2095,101400,126540
Painter,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Paralegal,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Park Ranger 1,,7,Strikeable,4356,4851,5420,495,1064,52272,65040
Park Ranger 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Park Ranger 3,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Park Ranger Assistant,,7,Strikeable,3335,3709,4118,374,783,40020,49416
Park Specialist,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Parking Services Representative,,7,Strikeable,3629,4036,4498,407,869,43548,53976
Parts Specialist 2,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Payroll Analyst,,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Pharmacist,,7,Strikeable,11825,13215,14775,1390,2950,141900,177300
Pharmacist 2,,7,Strikeable,13020,14550,16269,1530,3249,156240,195228
Pharmacist Resident,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Pharmacy Clerk & Technician 2,,7,Strikeable,3964,4425,4943,461,979,47568,59316
Pharmacy Clerk & Technician 3,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Physical Therapist,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Physical/Electronic Security Technician,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Physical/Electronic Security Technician 3,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Physician's Assistant,,7,Strikeable,8870,9897,11065,1027,2195,106440,132780
Planner 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Plumber,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Preadmissions Screening Specialist,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Print Services Technician,,7,Strikeable,3964,4425,4943,461,979,47568,59316
Printing Production Coordinator,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Procurement & Contract Specialist 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Procurement & Contract Specialist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Procurement & Contract Specialist 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Procurement And Contract Assistant,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Program Analyst 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Program Analyst 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Program Analyst 3,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Program Analyst 4,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Project Manager 1,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Project Manager 2,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Project Manager 3,,7,Strikeable,8450,9447,10545,997,2095,101400,126540
Psychiatric Social Worker,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Public Affairs Specialist 1,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Public Affairs Specialist 2,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Public Affairs Specialist 3,,7,Strikeable,8057,8999,10065,942,2008,96684,120780
Public Health Educator 1,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Public Health Educator 2,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Public Health Nurse 2,,7,Strikeable,8964,9952,11108,988,2144,107568,133296
Public Health Toxicologist 1,,7,Strikeable,7327,8177,9143,850,1816,87924,109716
Public Service Representative 2,,7,Strikeable,3483,3865,4301,382,818,41796,51612
Public Service Representative 3,,7,Strikeable,3790,4222,4715,432,925,45480,56580
Public Service Representative 4,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Radiologic Technologist,,7,Strikeable,6051,6763,7562,712,1511,72612,90744
Rehabilitation Instructor For The Blind,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Rehabilitation Instructor For The Blind (Entry),,7,Strikeable,5019,5598,6245,579,1226,60228,74940
Rehabilitation Therapist,,7,Strikeable,5771,6444,7206,673,1435,69252,86472
Research Analyst 1,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
Research Analyst 2,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Research Analyst 3,,7,Strikeable,6350,7097,7923,747,1573,76200,95076
Research Analyst 4,,7,Strikeable,7678,8581,9589,903,1911,92136,115068
Retirement Counselor 1,,7,Strikeable,4776,5345,5964,569,1188,57312,71568
Retirement Counselor 2,,7,Strikeable,5256,5861,6549,605,1293,63072,78588
Revenue Agent 1,,7,Strikeable,4155,4639,5169,484,1014,49860,62028
Revenue Agent 2,,7,Strikeable,4555,5086,5695,531,1140,54660,68340
