Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Mental Health Therapist 1,6711,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Mental Health Therapist 2,6713,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Mental Health Therapy Coordinator,6718,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Mental Health Therapy Technician,6710,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Mental Health Therapy Technician,6710,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Microbiologist 1,3779,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Microbiologist 2,3780,6,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Microbiologist 3,3781,6,6664,7442,8315,778,1651,"$17,936 ",79968,99780
Motor Carrier Enforcement Officer 1,5857,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Motor Carrier Enforcement Officer 2,5858,6,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Natural Resource Specialist 1,8501,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Natural Resource Specialist 2,8503,6,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Natural Resource Specialist 3,8503,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Natural Resource Specialist 4,8504,6,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Natural Resource Specialist 5,8505,6,8057,9000,10057,943,2000,"$21,372 ",96684,120684
Nutrition Consultant,5955,6,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Occupational Safety Specialist 1,5709,6,5019,5602,6257,583,1238,"$13,879 ",60228,75084
Occupational Safety Specialist 2,5710,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Occupational Safety Specialist 3,5711,6,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Occupational Therapist,6508,6,8057,9000,10057,943,2000,"$21,372 ",96684,120684
Office Assistant 1,101,6,0,,,,,"$1,500 ",0,
Office Assistant 2,103,6,3005,3446,3809,441,804,"$8,912 ",36060,45708
Office Coordinator,801,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Office Specialist 1,103,6,3335,3695,4096,360,761,"$9,726 ",40020,49152
Office Specialist 2,104,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Operations & Policy Analyst 1,870,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Operations & Policy Analyst 2,871,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Operations & Policy Analyst 3,873,6,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Operations & Policy Analyst 4,873,6,8057,9000,10057,943,2000,"$21,372 ",96684,120684
Painter,4001,6,5019,5602,6257,583,1238,"$13,879 ",60228,75084
Paralegal,1534,6,6051,6758,7552,707,1501,"$16,424 ",72612,90624
Park Ranger 1,8434,6,4155,4630,5163,475,1008,"$11,748 ",49860,61956
Park Ranger 2,8435,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Park Ranger 3,8436,6,5019,5602,6257,583,1238,"$13,879 ",60228,75084
Park Ranger Assistant,8433,6,3218,3562,3945,344,727,"$9,437 ",38616,47340
Park Specialist,8445,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Parking Services Representative,5550,6,3483,3863,4286,380,803,"$10,091 ",41796,51432
Parts Specialist 2,783,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Payroll Analyst,314,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Pharmacist,6360,6,11267,12589,14073,1322,2806,"$29,289 ",135204,168876
Pharmacist 2,6363,6,12408,13867,15505,1459,3097,"$32,103 ",148896,186060
Pharmacist Resident,6361,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Pharmacy Clerk & Technician 2,6388,6,3790,4213,4686,423,896,"$10,848 ",45480,56232
Pharmacy Clerk & Technician 3,6389,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Physical Therapist,6503,6,7678,8576,9584,898,1906,"$20,437 ",92136,115008
Physical/Electronic Security Technician,4037,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Physical/Electronic Security Technician 3,4039,6,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Physician's Assistant,6357,6,8450,9439,10550,989,2100,"$22,341 ",101400,126600
Planner 2,1097,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Plumber,4005,6,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Preadmissions Screening Specialist,6684,6,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Print Services Technician,3446,6,3790,4213,4686,423,896,"$10,848 ",45480,56232
Printing Production Coordinator,3475,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Procurement & Contract Specialist 1,436,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Procurement & Contract Specialist 2,437,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Procurement & Contract Specialist 3,438,6,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Procurement And Contract Assistant,435,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Program Analyst 1,860,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Program Analyst 2,861,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Program Analyst 3,863,6,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Program Analyst 4,863,6,7678,8576,9584,898,1906,"$20,437 ",92136,115008
Project Manager 1,854,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Project Manager 2,855,6,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Project Manager 3,856,6,8057,9000,10057,943,2000,"$21,372 ",96684,120684
Psychiatric Social Worker,6730,6,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Public Affairs Specialist 1,864,6,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Public Affairs Specialist 2,865,6,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Public Affairs Specialist 3,866,6,7678,8576,9584,898,1906,"$20,437 ",92136,115008
Public Health Educator 1,3337,6,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Public Health Educator 2,3338,6,6051,6758,7552,707,1501,"$16,424 ",72612,90624
Public Health Nurse 2,6339,6,8519,9503,10606,984,2087,"$22,511 ",102228,127272
Public Health Toxicologist 1,3433,6,6982,7799,8715,817,1733,"$18,721 ",83784,104580
Public Service Representative 2,333,6,3335,3695,4096,360,761,"$9,726 ",40020,49152
Public Service Representative 3,333,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Public Service Representative 4,334,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Radiologic Technologist,6348,6,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Rehabilitation Instructor For The Blind,3333,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Rehabilitation Instructor For The Blind (Entry),3333,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Rehabilitation Therapist,6531,6,5503,6144,6863,641,1360,"$15,073 ",66036,82356
Research Analyst 1,1115,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Research Analyst 2,1116,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Research Analyst 3,1117,6,6051,6758,7552,707,1501,"$16,424 ",72612,90624
Research Analyst 4,1118,6,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Retirement Counselor 1,841,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Retirement Counselor 2,843,6,5019,5602,6257,583,1238,"$13,879 ",60228,75084
Revenue Agent 1,5110,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Revenue Agent 2,5111,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Revenue Agent 3,5113,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Safety Specialist 1,1345,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Safety Specialist 2,1346,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Scientific Instrument Technician,4339,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Seamster,9301,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Securities Examiner,5671,6,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Shipping Point Inspector 1,5450,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Shipping Point Inspector 2,5451,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Sign Technician 1,4131,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Social Service Assistant,6609,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Social Service Specialist 1,6613,6,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Social Services Specialist 2,6613,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
State Library Specialist 1,351,6,3218,3562,3945,344,727,"$9,437 ",38616,47340
State Library Specialist 2,353,6,4155,4631,5163,476,1008,"$11,748 ",49860,61956
State Procurement Analyst,770,6,7327,8185,9148,858,1821,"$19,571 ",87924,109776
Student Office Worker,100,6,0,4036,4301,4036,4301,"$1,500 ",0,51612
Supply Specialist 1,758,6,3483,3863,4286,380,803,"$10,091 ",41796,51432
Supply Specialist 2,759,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Tax Auditor 1,5631,6,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Tax Auditor 2,5633,6,6664,7442,8315,778,1651,"$17,936 ",79968,99780
Tax Auditor/Entry,5630,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Teaching Assistant,3303,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Traffic Survey Interviewer,1105,6,0,,,,,"$1,500 ",0,
Training & Development Specialist 1,1338,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Training & Development Specialist 2,1339,6,6350,7090,7920,740,1570,"$17,162 ",76200,95040
Transportation Maintenance Coordinator 1,4161,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Transportation Maintenance Coordinator 2,4163,6,5019,5602,6257,583,1238,"$13,879 ",60228,75084
Transportation Maintenance Specialist 1,4151,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Transportation Maintenance Specialist 2,4153,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Transportation Maintenance Specialist Entry,4150,6,3483,3876,4316,393,833,"$10,091 ",41796,51792
Transportation Services Office Leader,333,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Transportation Services Representative 1,331,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Transportation Services Representative 2,333,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Transportation Telecommunications Specialist 1,4166,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Transportation Telecommunications Specialist 2,4167,6,5019,5602,6257,583,1238,"$13,879 ",60228,75084
Transporter,4403,6,3095,3423,3787,328,692,"$9,134 ",37140,45444
Transporting Mental Health Aide,6101,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Truck Driver 1,4401,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Truck Driver 2,4403,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Veterans Service Officer,799,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Veterans Trust Officer,784,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Video Producer,3176,6,6664,7442,8315,778,1651,"$17,936 ",79968,99780
Vocational Rehabilitation Counselor,6647,6,5771,6445,7201,674,1430,"$15,734 ",69252,86412
Vocational Rehabilitation Counselor Entry,6646,6,4555,5081,5670,526,1115,"$12,735 ",54660,68040
Vocational Rehabilitation Specialist,6648,6,6051,6758,7552,707,1501,"$16,424 ",72612,90624
Water Resource Data Technician 1,8510,6,4356,4856,5416,500,1060,"$12,244 ",52272,64992
Water Resource Data Technician 2,8511,6,4776,5330,5950,554,1174,"$13,280 ",57312,71400
Wildland Fire Dispatcher,8364,6,3629,4028,4472,399,843,"$10,451 ",43548,53664
Wildland Fire Dispatcher Entry,8363,6,3095,3423,3787,328,692,"$9,134 ",37140,45444
Wildland Fire Suppression Specialist,8355,6,3964,4411,4911,447,947,"$11,277 ",47568,58932
Wildland Fire Suppression Specialist Entry,8354,6,3335,3695,4096,360,761,"$9,726 ",40020,49152
Word Processing Technician 2,531,6,3483,3863,4286,380,803,"$10,091 ",41796,51432
Word Processing Technician 3,533,6,3790,4213,4686,423,896,"$10,848 ",45480,56232
Youth Corrections Unit Coordinator,6755,6,5256,5868,6554,612,1298,"$14,464 ",63072,78648
Accountant 1,1316,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Accountant 2,1317,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Accountant 3,1318,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Accounting Technician,313,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Activities Coordinator,6530,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Administrative Law Judge 1,1510,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Administrative Law Judge 2,1511,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Administrative Law Judge 3,1513,7,10740,12000,13415,1260,2675,"$27,989 ",128880,160980
Administrative Specialist 1,107,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Administrative Specialist 2,108,7,4776,5327,5945,551,1169,"$13,280 ",57312,71340
Adult Protective Service Specialist,6616,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Aerial Photographer,3540,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Aircraft Pilot,8333,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Appraiser Analyst 1,735,7,4356,4855,5413,499,1057,"$12,244 ",52272,64956
Appraiser Analyst 2,736,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Appraiser Analyst 3,737,7,6982,7797,8712,815,1730,"$18,721 ",83784,104544
Appraiser Analyst 4,738,7,8057,9000,10057,943,2000,"$21,372 ",96684,120684
Apprenticeship Representative,4380,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Automotive Fleet Attendant,4417,7,3629,4025,4466,396,837,"$10,451 ",43548,53592
Automotive Technician 1,4418,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Automotive Technician 2,4419,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Behavioral Health Specialist 1,6531,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Behavioral Health Specialist 2,6534,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Behavioral Health Specialist 3,6535,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Biological Science Assistant,3769,7,3335,3692,4089,357,754,"$9,726 ",40020,49068
Business & Employment Specialist 2,6699,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Carpenter,4003,7,5256,5867,6552,611,1296,"$14,464 ",63072,78624
Certified Occupation Therapist Assistant,6506,7,4776,5327,5945,551,1169,"$13,280 ",57312,71340
Chaplain,6680,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Chemist 1,3715,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Chemist 2,3716,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Chemist 3,3717,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Child Nutrition Specialist,5950,7,6982,7797,8712,815,1730,"$18,721 ",83784,104544
Child Support Case Manager,5139,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Child Support Case Manager Entry,5138,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Child Support Specialist,5133,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Civil Engineering Specialist 1,3136,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Civil Rights Investigator 1,5340,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Civil Rights Investigator 2,5341,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Claims Representative 1,5307,7,5256,5867,6552,611,1296,"$14,464 ",63072,78624
Claims Representative 2,5308,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Client Care Surveyor,6685,7,6982,7797,8712,815,1730,"$18,721 ",83784,104544
Clinical Laboratory Scientist,6833,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Clinical Psychologist 1,6394,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Clinical Psychologist 2,6395,7,9751,10893,12175,1142,2424,"$25,550 ",117012,146100
Communicable Disease Analyst,5903,7,5256,5867,6552,611,1296,"$14,464 ",63072,78624
Community Outreach Specialist,6614,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Compliance Specialist 1,5346,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Compliance Specialist 2,5347,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Compliance Specialist 3,5348,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Construction Inspector,3365,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Construction Project Manager 1,3367,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Construction Project Manager 2,3368,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Construction Project Manager 3,3369,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Cook,9117,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Custodial Services Coordinator,4103,7,3483,3859,4278,376,795,"$10,091 ",41796,51336
Custodian,4101,7,3095,3420,3781,325,686,"$9,134 ",37140,45372
Data Entry Control Technician,1475,7,3335,3692,4089,357,754,"$9,726 ",40020,49068
Data Entry Operator,501,7,3335,3692,4089,357,754,"$9,726 ",40020,49068
Dental Assistant 2,6394,7,4776,5327,5945,551,1169,"$13,280 ",57312,71340
Dental Hygienist,6396,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Dietitian 2,6371,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Disability Analyst 1,5936,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Disability Analyst 2,5937,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Disability Analyst 2,5937,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
District Veterinarian,6440,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
DOJ Claims Examiner,5933,7,5256,5867,6552,611,1296,"$14,464 ",63072,78624
Dormitory Counselor 1,6767,7,3964,4407,4902,443,938,"$11,277 ",47568,58824
Dormitory Counselor 2,6768,7,4776,5327,5945,551,1169,"$13,280 ",57312,71340
Economist 1,1161,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Economist 2,1163,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Economist 3,1163,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Economist 4,1164,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Education Program Specialist 1,3300,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Education Program Specialist 2,3301,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Electrician 2,4008,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Electrician 3,4009,7,6982,7797,8712,815,1730,"$18,721 ",83784,104544
Electronic Publishing Design Specialist 1,3510,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Electronic Publishing Design Specialist 2,3511,7,5256,5867,6552,611,1296,"$14,464 ",63072,78624
Electronic Publishing Design Specialist 3,3513,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Electronic Security Technician 2,4051,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Employment Adjudicator,6693,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Employment Appeals Board Legal Staff,1543,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Engineering Technician 2,3110,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Engineering Technician 3,3111,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Environmental Engineer 2,3411,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Environmental Engineer 3,3413,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Environmental Health Specialist 3,3819,7,6982,7797,8712,815,1730,"$18,721 ",83784,104544
Epidemiologist 1,6316,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Epidemiologist 2,6317,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Epidemiologist 3,6318,7,8450,9439,10548,989,2098,"$22,341 ",101400,126576
Equipment Operator,4433,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Executive Assistant,830,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Executive Support Specialist 1,118,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Executive Support Specialist 2,119,7,4776,5327,5945,551,1169,"$13,280 ",57312,71340
Facilities Engineer 1,3351,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Facilities Engineer 3,3353,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Facility Energy Technician 2,4033,7,5256,5867,6552,611,1296,"$14,464 ",63072,78624
Facility Energy Technician 3,4034,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Facility Energy Technician 4,4035,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Facility Maintenance Specialist,4013,7,4356,4855,5413,499,1057,"$12,244 ",52272,64956
Facility Operations Specialist 1,4014,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Facility Operations Specialist 2,4015,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Financial Enforcement Officer,1547,7,8450,9439,10548,989,2098,"$22,341 ",101400,126576
Financial Examiner 1,5675,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Financial Examiner 2,5676,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Financial Examiner 3,5677,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Financial Investigator 1,5335,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Fiscal Analyst 1,1343,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Fiscal Analyst 2,1344,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Fiscal Analyst 3,1345,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Fiscal Auditor 1,5641,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Fish and Wildlife Technical Coordinator,8346,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Fish and Wildlife Technician,8341,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Fish and Wildlife Technician,8341,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Fish and Wildlife Technician Entry,8340,7,3483,3859,4278,376,795,"$10,091 ",41796,51336
Fish and Wildlife Technician Senior,8343,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Food Service Worker,9103,7,3483,3859,4278,376,795,"$10,091 ",41796,51336
Food Service Worker,9103,7,3483,3859,4278,376,795,"$10,091 ",41796,51336
Forest Crew Coordinator,8318,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Forest Lookout,8353,7,3218,3559,3938,341,720,"$9,437 ",38616,47256
Forest Management Technician,8311,7,3964,4407,4902,443,938,"$11,277 ",47568,58824
Forest Officer,8357,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Geologist 2,3531,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Governmental Auditor 1,5646,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Governmental Auditor 2,5647,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Governmental Auditor 3,5648,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Grounds Maintenance Worker 1,4109,7,3629,4025,4466,396,837,"$10,451 ",43548,53592
Grounds Maintenance Worker 2,4110,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Grounds Maintenance Worker 2,4110,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Group Life Coordinator 1,6750,7,3790,4206,4671,416,881,"$10,848 ",45480,56052
Group Life Coordinator 2,6751,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Hairdresser,9300,7,3629,4039,4497,410,868,"$10,451 ",43548,53964
Health Care Investigator/Advisor,5911,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Health Information Specialist,15,7,4356,4855,5413,499,1057,"$12,244 ",52272,64956
Heavy Equipment Technician 1,4437,7,5701,6362,7102,661,1401,"$15,561 ",68412,85224
Heavy Equipment Technician 2,4438,7,6350,7092,7923,742,1573,"$17,162 ",76200,95076
Human Services Assistant 2,6606,7,3964,4407,4902,443,938,"$11,277 ",47568,58824
Human Services Case Manager,6630,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Human Services Specialist 1,6657,7,3790,4206,4671,416,881,"$10,848 ",45480,56052
Human Services Specialist 2,6658,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Human Services Specialist 3,6659,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Human Services Specialist 4,6660,7,5256,5867,6552,611,1296,"$14,464 ",63072,78624
Incident Response Operations Specialist,4165,7,4776,5327,5945,551,1169,"$13,280 ",57312,71340
Industrial Hygienist 2,5706,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Industrial Hygienist 3,5707,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Industrial Hygienist 4,5708,7,8057,9000,10057,943,2000,"$21,372 ",96684,120684
Information Systems Specialist 2,1483,7,5019,5601,6253,582,1234,"$13,879 ",60228,75036
Information Systems Specialist 3,1483,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Information Systems Specialist 4,1484,7,6051,6758,7550,707,1499,"$16,424 ",72612,90600
Information Systems Specialist 5,1485,7,6982,7797,8712,815,1730,"$18,721 ",83784,104544
Information Systems Specialist 6,1486,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Information Systems Specialist 7,1487,7,7327,8184,9146,857,1819,"$19,571 ",87924,109752
Information Systems Specialist 8,1488,7,8057,9000,10057,943,2000,"$21,372 ",96684,120684
Institution Registered Nurse,6314,7,8964,10000,11160,1036,2196,"$23,609 ",107568,133920
Insurance Examiner,5748,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Insurance Examiner Entry,5747,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Investigator 1,5331,7,4555,5078,5664,523,1109,"$12,735 ",54660,67968
Investigator 2,5333,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Investigator 3,5333,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Investment Analyst 1,1333,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Investment Analyst 2,1333,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Investment Analyst 3,1334,7,8870,9909,11074,1039,2204,"$23,377 ",106440,132888
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,7,5771,6443,7198,672,1427,"$15,734 ",69252,86376
Laboratory Technician 2,6811,7,4155,4624,5147,469,992,"$11,748 ",49860,61764
Laborer/Student Worker,4116,7,3335,3692,4089,357,754,"$9,726 ",40020,49068
Legal Secretary,110,7,4356,4855,5413,499,1057,"$12,244 ",52272,64956
Librarian,3330,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Licensed Practical Nurse,6135,7,5493,6131,6846,638,1353,"$15,048 ",65916,82152
Livestock Brand Inspector,5430,7,3790,4206,4671,416,881,"$10,848 ",45480,56052
Loan Specialist 1,1001,7,5503,6144,6862,641,1359,"$15,073 ",66036,82344
Loan Specialist 2,1003,7,6664,7440,8311,776,1647,"$17,936 ",79968,99732
Loan Specialist 3,1003,7,7678,8577,9586,899,1908,"$20,437 ",92136,115032
Machinist,4018,7,6350,7092,7925,742,1575,"$17,162 ",76200,95100
Mail Delivery Driver,4404,7,3790,4206,4671,416,881,"$10,848 ",45480,56052
Mail Equipment Operator 1,403,7,3335,3692,4089,357,754,"$9,726 ",40020,49068
