Position,Classification code,Current Step,current_monthly,monthly_pay_at_contract_end,difference in monthly pay,pct_change,Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract,Difference in annual pay
Mail Equipment Operator 2,404,3,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Mail Equipment Operator 2,404,4,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Mail Equipment Operator 2,404,5,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Mail Equipment Operator 2,404,6,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mail Equipment Operator 2,404,7,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Mail Equipment Operator 2,404,8,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Mail Equipment Operator 2,404,9,4155,4936,781,18.80%,"$11,748 ","$49,860 ","$59,232 ","$9,372 "
Mail Equipment Operator 2,404,10,4356,4943,587,13.48%,"$12,244 ","$52,272 ","$59,316 ","$7,044 "
Mail Services Assistant,405,1,0,0,0,,"$1,500 ",$-   , $-   , $-   
Mail Services Assistant,405,2,0,0,0,,"$1,500 ",$-   , $-   , $-   
Mail Services Assistant,405,3,3005,3738,733,24.39%,"$8,912 ","$36,060 ","$44,856 ","$8,796 "
Mail Services Assistant,405,4,3095,3849,754,24.36%,"$9,134 ","$37,140 ","$46,188 ","$9,048 "
Mail Services Assistant,405,5,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Mail Services Assistant,405,6,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Mail Services Assistant,405,7,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Mail Services Assistant,405,8,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mail Services Assistant,405,9,3790,4502,712,18.79%,"$10,848 ","$45,480 ","$54,024 ","$8,544 "
Mail Services Assistant,405,10,3964,4498,534,13.47%,"$11,277 ","$47,568 ","$53,976 ","$6,408 "
Manual Arts Instructor,3304,1,3218,4191,973,30.24%,"$9,437 ","$38,616 ","$50,292 ","$11,676 "
Manual Arts Instructor,3304,2,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Manual Arts Instructor,3304,3,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Manual Arts Instructor,3304,4,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Manual Arts Instructor,3304,5,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Manual Arts Instructor,3304,6,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Manual Arts Instructor,3304,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Manual Arts Instructor,3304,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Manual Arts Instructor,3304,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Manual Arts Instructor,3304,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Medical Consultant,7538,1,8870,11033,2163,24.39%,"$23,377 ","$106,440 ","$132,396 ","$25,956 "
Medical Consultant,7538,2,9293,11559,2266,24.38%,"$24,420 ","$111,516 ","$138,708 ","$27,192 "
Medical Consultant,7538,3,9751,12129,2378,24.39%,"$25,550 ","$117,012 ","$145,548 ","$28,536 "
Medical Consultant,7538,4,10242,12740,2498,24.39%,"$26,761 ","$122,904 ","$152,880 ","$29,976 "
Medical Consultant,7538,5,10740,13359,2619,24.39%,"$27,989 ","$128,880 ","$160,308 ","$31,428 "
Medical Consultant,7538,6,11267,14015,2748,24.39%,"$29,289 ","$135,204 ","$168,180 ","$32,976 "
Medical Consultant,7538,7,11825,14709,2884,24.39%,"$30,665 ","$141,900 ","$176,508 ","$34,608 "
Medical Consultant,7538,8,12408,15434,3026,24.39%,"$32,103 ","$148,896 ","$185,208 ","$36,312 "
Medical Consultant,7538,9,13020,15468,2448,18.80%,"$33,613 ","$156,240 ","$185,616 ","$29,376 "
Medical Consultant,7538,10,13662,15503,1841,13.48%,"$35,196 ","$163,944 ","$186,036 ","$22,092 "
Medical Laboratory Technician 1,6830,1,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Medical Laboratory Technician 1,6830,2,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Medical Laboratory Technician 1,6830,3,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Medical Laboratory Technician 1,6830,4,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Medical Laboratory Technician 1,6830,5,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Medical Laboratory Technician 1,6830,6,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Medical Laboratory Technician 1,6830,7,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Medical Laboratory Technician 1,6830,8,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Medical Laboratory Technician 1,6830,9,4776,5674,898,18.80%,"$13,280 ","$57,312 ","$68,088 ","$10,776 "
Medical Laboratory Technician 1,6830,10,5019,5695,676,13.47%,"$13,879 ","$60,228 ","$68,340 ","$8,112 "
Medical Laboratory Technician 2,6831,1,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Medical Laboratory Technician 2,6831,2,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Medical Laboratory Technician 2,6831,3,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Medical Laboratory Technician 2,6831,4,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Medical Laboratory Technician 2,6831,5,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Medical Laboratory Technician 2,6831,6,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Medical Laboratory Technician 2,6831,7,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Medical Laboratory Technician 2,6831,8,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Medical Laboratory Technician 2,6831,9,5256,6244,988,18.80%,"$14,464 ","$63,072 ","$74,928 ","$11,856 "
Medical Laboratory Technician 2,6831,10,5503,6244,741,13.47%,"$15,073 ","$66,036 ","$74,928 ","$8,892 "
Medical Review Coordinator,6310,1,6756,8404,1648,24.39%,"$18,163 ","$81,072 ","$100,848 ","$19,776 "
Medical Review Coordinator,6310,2,7074,8799,1725,24.39%,"$18,947 ","$84,888 ","$105,588 ","$20,700 "
Medical Review Coordinator,6310,3,7410,9217,1807,24.39%,"$19,776 ","$88,920 ","$110,604 ","$21,684 "
Medical Review Coordinator,6310,4,7764,9657,1893,24.38%,"$20,649 ","$93,168 ","$115,884 ","$22,716 "
Medical Review Coordinator,6310,5,8130,10113,1983,24.39%,"$21,552 ","$97,560 ","$121,356 ","$23,796 "
Medical Review Coordinator,6310,6,8519,10597,2078,24.39%,"$22,511 ","$102,228 ","$127,164 ","$24,936 "
Medical Review Coordinator,6310,7,8964,11150,2186,24.39%,"$23,609 ","$107,568 ","$133,800 ","$26,232 "
Medical Review Coordinator,6310,8,9345,11624,2279,24.39%,"$24,549 ","$112,140 ","$139,488 ","$27,348 "
Medical Review Coordinator,6310,9,9789,11630,1841,18.81%,"$25,644 ","$117,468 ","$139,560 ","$22,092 "
Medical Review Coordinator,6310,10,10254,11635,1381,13.47%,"$26,791 ","$123,048 ","$139,620 ","$16,572 "
Mental Health Security Technician,6708,1,3218,4191,973,30.24%,"$9,437 ","$38,616 ","$50,292 ","$11,676 "
Mental Health Security Technician,6708,2,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Mental Health Security Technician,6708,3,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Mental Health Security Technician,6708,4,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mental Health Security Technician,6708,5,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Mental Health Security Technician,6708,6,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Mental Health Security Technician,6708,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Mental Health Security Technician,6708,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Mental Health Security Technician,6708,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Mental Health Security Technician,6708,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Mental Health Therapist 1,6711,1,3218,4191,973,30.24%,"$9,437 ","$38,616 ","$50,292 ","$11,676 "
Mental Health Therapist 1,6711,2,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Mental Health Therapist 1,6711,3,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Mental Health Therapist 1,6711,4,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mental Health Therapist 1,6711,5,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Mental Health Therapist 1,6711,6,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Mental Health Therapist 1,6711,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Mental Health Therapist 1,6711,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Mental Health Therapist 1,6711,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Mental Health Therapist 1,6711,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Mental Health Therapist 2,6713,1,3483,4536,1053,30.23%,"$10,091 ","$41,796 ","$54,432 ","$12,636 "
Mental Health Therapist 2,6713,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mental Health Therapist 2,6713,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Mental Health Therapist 2,6713,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Mental Health Therapist 2,6713,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Mental Health Therapist 2,6713,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Mental Health Therapist 2,6713,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Mental Health Therapist 2,6713,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Mental Health Therapist 2,6713,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Mental Health Therapist 2,6713,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Mental Health Therapy Coordinator,6718,1,3483,4536,1053,30.23%,"$10,091 ","$41,796 ","$54,432 ","$12,636 "
Mental Health Therapy Coordinator,6718,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mental Health Therapy Coordinator,6718,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Mental Health Therapy Coordinator,6718,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Mental Health Therapy Coordinator,6718,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Mental Health Therapy Coordinator,6718,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Mental Health Therapy Coordinator,6718,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Mental Health Therapy Coordinator,6718,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Mental Health Therapy Coordinator,6718,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Mental Health Therapy Coordinator,6718,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Mental Health Therapy Technician,6710,1,3005,3913,908,30.22%,"$8,912 ","$36,060 ","$46,956 ","$10,896 "
Mental Health Therapy Technician,6710,1,3005,3913,908,30.22%,"$8,912 ","$36,060 ","$46,956 ","$10,896 "
Mental Health Therapy Technician,6710,2,3095,3849,754,24.36%,"$9,134 ","$37,140 ","$46,188 ","$9,048 "
Mental Health Therapy Technician,6710,2,3095,3849,754,24.36%,"$9,134 ","$37,140 ","$46,188 ","$9,048 "
Mental Health Therapy Technician,6710,3,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Mental Health Therapy Technician,6710,3,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Mental Health Therapy Technician,6710,4,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Mental Health Therapy Technician,6710,4,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Mental Health Therapy Technician,6710,5,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Mental Health Therapy Technician,6710,5,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Mental Health Therapy Technician,6710,6,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mental Health Therapy Technician,6710,6,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Mental Health Therapy Technician,6710,7,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Mental Health Therapy Technician,6710,7,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Mental Health Therapy Technician,6710,8,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Mental Health Therapy Technician,6710,8,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Mental Health Therapy Technician,6710,9,4155,4936,781,18.80%,"$11,748 ","$49,860 ","$59,232 ","$9,372 "
Mental Health Therapy Technician,6710,9,4155,4936,781,18.80%,"$11,748 ","$49,860 ","$59,232 ","$9,372 "
Mental Health Therapy Technician,6710,10,4356,4943,587,13.48%,"$12,244 ","$52,272 ","$59,316 ","$7,044 "
Mental Health Therapy Technician,6710,10,4356,4943,587,13.48%,"$12,244 ","$52,272 ","$59,316 ","$7,044 "
Microbiologist 1,3779,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Microbiologist 1,3779,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Microbiologist 1,3779,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Microbiologist 1,3779,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Microbiologist 1,3779,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Microbiologist 1,3779,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Microbiologist 1,3779,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Microbiologist 1,3779,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Microbiologist 1,3779,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Microbiologist 1,3779,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Microbiologist 2,3780,1,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Microbiologist 2,3780,2,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Microbiologist 2,3780,3,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Microbiologist 2,3780,4,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Microbiologist 2,3780,5,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Microbiologist 2,3780,6,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Microbiologist 2,3780,7,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Microbiologist 2,3780,8,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Microbiologist 2,3780,9,6664,7917,1253,18.80%,"$17,936 ","$79,968 ","$95,004 ","$15,036 "
Microbiologist 2,3780,10,6982,7922,940,13.46%,"$18,721 ","$83,784 ","$95,064 ","$11,280 "
Microbiologist 3,3781,1,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Microbiologist 3,3781,2,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Microbiologist 3,3781,3,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Microbiologist 3,3781,4,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Microbiologist 3,3781,5,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Microbiologist 3,3781,6,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Microbiologist 3,3781,7,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Microbiologist 3,3781,8,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Microbiologist 3,3781,9,7678,9122,1444,18.81%,"$20,437 ","$92,136 ","$109,464 ","$17,328 "
Microbiologist 3,3781,10,8057,9142,1085,13.47%,"$21,372 ","$96,684 ","$109,704 ","$13,020 "
Motor Carrier Enforcement Officer 1,5857,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Motor Carrier Enforcement Officer 1,5857,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Motor Carrier Enforcement Officer 1,5857,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Motor Carrier Enforcement Officer 1,5857,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Motor Carrier Enforcement Officer 1,5857,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Motor Carrier Enforcement Officer 1,5857,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Motor Carrier Enforcement Officer 1,5857,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Motor Carrier Enforcement Officer 1,5857,8,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Motor Carrier Enforcement Officer 1,5857,9,5503,6538,1035,18.81%,"$15,073 ","$66,036 ","$78,456 ","$12,420 "
Motor Carrier Enforcement Officer 1,5857,10,5771,6548,777,13.46%,"$15,734 ","$69,252 ","$78,576 ","$9,324 "
Motor Carrier Enforcement Officer 2,5858,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Motor Carrier Enforcement Officer 2,5858,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Motor Carrier Enforcement Officer 2,5858,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Motor Carrier Enforcement Officer 2,5858,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Motor Carrier Enforcement Officer 2,5858,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Motor Carrier Enforcement Officer 2,5858,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Motor Carrier Enforcement Officer 2,5858,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Motor Carrier Enforcement Officer 2,5858,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Motor Carrier Enforcement Officer 2,5858,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Motor Carrier Enforcement Officer 2,5858,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Natural Resource Specialist 1,8501,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Natural Resource Specialist 1,8501,1,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Natural Resource Specialist 1,8501,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Natural Resource Specialist 1,8501,2,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Natural Resource Specialist 1,8501,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Natural Resource Specialist 1,8501,3,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Natural Resource Specialist 1,8501,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Natural Resource Specialist 1,8501,4,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Natural Resource Specialist 1,8501,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Natural Resource Specialist 1,8501,5,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Natural Resource Specialist 1,8501,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Natural Resource Specialist 1,8501,6,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Natural Resource Specialist 1,8501,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Natural Resource Specialist 1,8501,7,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Natural Resource Specialist 1,8501,8,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Natural Resource Specialist 1,8501,8,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Natural Resource Specialist 1,8501,9,5503,6538,1035,18.81%,"$15,073 ","$66,036 ","$78,456 ","$12,420 "
Natural Resource Specialist 1,8501,9,5503,6538,1035,18.81%,"$15,073 ","$66,036 ","$78,456 ","$12,420 "
Natural Resource Specialist 1,8501,10,5771,6548,777,13.46%,"$15,734 ","$69,252 ","$78,576 ","$9,324 "
Natural Resource Specialist 1,8501,10,5771,6548,777,13.46%,"$15,734 ","$69,252 ","$78,576 ","$9,324 "
Natural Resource Specialist 2,8503,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Natural Resource Specialist 2,8503,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Natural Resource Specialist 2,8503,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Natural Resource Specialist 2,8503,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Natural Resource Specialist 2,8503,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Natural Resource Specialist 2,8503,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Natural Resource Specialist 2,8503,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Natural Resource Specialist 2,8503,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Natural Resource Specialist 2,8503,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Natural Resource Specialist 2,8503,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Natural Resource Specialist 2,8503,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Natural Resource Specialist 2,8503,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Natural Resource Specialist 2,8503,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Natural Resource Specialist 2,8503,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Natural Resource Specialist 2,8503,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Natural Resource Specialist 2,8503,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Natural Resource Specialist 2,8503,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Natural Resource Specialist 2,8503,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Natural Resource Specialist 2,8503,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Natural Resource Specialist 2,8503,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Natural Resource Specialist 3,8503,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Natural Resource Specialist 3,8503,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Natural Resource Specialist 3,8503,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Natural Resource Specialist 3,8503,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Natural Resource Specialist 3,8503,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Natural Resource Specialist 3,8503,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Natural Resource Specialist 3,8503,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Natural Resource Specialist 3,8503,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Natural Resource Specialist 3,8503,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Natural Resource Specialist 3,8503,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Natural Resource Specialist 3,8503,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Natural Resource Specialist 3,8503,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Natural Resource Specialist 3,8503,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Natural Resource Specialist 3,8503,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
